facultad,programa,tiempo_respuesta,exito
2,1,0.016144752502441406,True
2,2,0.0247039794921875,True
2,4,0.032184600830078125,True
2,5,0.03900575637817383,True
3,1,0.04522538185119629,True
3,3,0.04670000076293945,True
3,4,0.05443716049194336,True
3,5,0.05914711952209473,True
4,4,0.062349796295166016,True
4,2,0.0680539608001709,True
5,1,0.07062506675720215,True
4,5,0.08025050163269043,True
5,2,0.0833899974822998,True
1,5,5.0027782917022705,False
1,2,5.006242275238037,False
1,3,5.006885051727295,False
1,1,5.010947227478027,False
1,4,5.008335828781128,False
2,3,5.0080037117004395,False
3,2,5.007030725479126,False
4,3,5.008568286895752,False
4,1,5.011082887649536,False
5,3,5.007691860198975,False
5,4,5.007165431976318,False
5,5,5.008702039718628,False
