facultad,programa,tiempo_respuesta,exito
1,4,0.017764806747436523,True
3,3,0.01735210418701172,True
2,1,0.03774690628051758,True
2,5,0.0414884090423584,True
3,5,0.046927452087402344,True
5,4,0.03766894340515137,True
4,1,0.07767415046691895,True
4,2,0.0876924991607666,True
4,3,0.10776758193969727,True
5,2,0.11320257186889648,True
5,3,0.13966751098632812,True
1,1,5.003931999206543,False
1,2,5.002859830856323,False
1,3,5.006596326828003,False
1,5,5.0082056522369385,False
2,2,5.0104076862335205,False
2,4,5.008046388626099,False
2,3,5.009674072265625,False
3,1,5.006300210952759,False
3,2,5.00726842880249,False
3,4,5.006059408187866,False
4,4,5.0061938762664795,False
4,5,5.006103754043579,False
5,1,5.0084547996521,False
5,5,5.005994558334351,False
